Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D(Clone), door 87, 49.05-X, 15.52-Z, 60.48 seconds
SmartAgent3D(Clone), door 3, 14.61-X, 4.96-Z, 60.72 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 60.74 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 61.06 seconds
SmartAgent3D(Clone), door 46, 25.05-X, 15.4-Z, 61.24 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 61.38 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 62.34 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 62.72 seconds
SmartAgent3D(Clone), door 33, 8.49-X, 4.96-Z, 62.92 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 63.18 seconds
SmartAgent3D(Clone), door 33, 8.49-X, 4.96-Z, 63.46 seconds
SmartAgent3D(Clone), door 46, 25.05-X, 15.4-Z, 63.52 seconds
SmartAgent3D(Clone), door 39, 58.05-X, 12.52-Z, 63.82 seconds
SmartAgent3D(Clone), door 42, 40.05-X, 15.4-Z, 63.82 seconds
SmartAgent3D(Clone), door 39, 58.05-X, 12.52-Z, 64.32 seconds
SmartAgent3D(Clone), door 42, 40.05-X, 15.4-Z, 64.42 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 64.56 seconds
SmartAgent3D(Clone), door 88, 40.05-X, 15.52-Z, 64.82 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 64.94 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 65.48 seconds
SmartAgent3D(Clone), door 88, 40.05-X, 15.52-Z, 65.54 seconds
SmartAgent3D(Clone), door 43, 40.05-X, 12.52-Z, 66.26 seconds
SmartAgent3D(Clone), door 83, 40.05-X, 12.4-Z, 67.04 seconds
SmartAgent3D(Clone), door 83, 40.05-X, 12.4-Z, 67.42 seconds
SmartAgent3D(Clone), door 83, 40.05-X, 12.4-Z, 67.76 seconds
SmartAgent3D(Clone), door 43, 40.05-X, 12.52-Z, 68.1 seconds
SmartAgent3D(Clone), door 3, 14.61-X, 4.96-Z, 68.34 seconds
SmartAgent3D(Clone), door 41, 49.05-X, 12.52-Z, 69.24 seconds
SmartAgent3D(Clone), door 41, 49.05-X, 12.52-Z, 71.1 seconds
SmartAgent3D(Clone), door 43, 40.05-X, 12.52-Z, 72.42 seconds
SmartAgent3D(Clone), door 42, 40.05-X, 15.4-Z, 73.66 seconds
SmartAgent3D(Clone), door 39, 58.05-X, 12.52-Z, 74.06 seconds
SmartAgent3D(Clone), door 38, 58.05-X, 15.4-Z, 75.3 seconds
SmartAgent3D(Clone), door 38, 58.05-X, 15.4-Z, 75.82 seconds
SmartAgent3D(Clone), door 38, 58.05-X, 15.4-Z, 76.14 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 76.94 seconds
SmartAgent3D(Clone), door 44, 31.05-X, 15.4-Z, 76.98 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 77.28 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 77.6 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 78.1 seconds
SmartAgent3D(Clone), door 45, 31.05-X, 12.52-Z, 78.22 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 78.56 seconds
SmartAgent3D(Clone), door 45, 31.05-X, 12.52-Z, 78.86 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 79.24 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 79.68 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 80.12 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 80.46 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 80.54 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 81.78 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 82.3 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 82.58 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 82.88 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 83.42 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 83.48 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 83.76 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 84.06 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 84.58 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 85 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 85.76 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 86.58 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 86.96 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 87.24 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 87.54 seconds
SmartAgent3D(Clone), door 3, 14.61-X, 4.96-Z, 87.58 seconds
SmartAgent3D(Clone), door 39, 58.05-X, 12.52-Z, 90.02 seconds
SmartAgent3D(Clone), door 39, 58.05-X, 12.52-Z, 90.6 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 91.18 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 91.74 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 92.04 seconds
SmartAgent3D(Clone), door 45, 31.05-X, 12.52-Z, 100.02 seconds
SmartAgent3D(Clone), door 44, 31.05-X, 15.4-Z, 101.22 seconds
SmartAgent3D(Clone), door 46, 25.05-X, 15.4-Z, 103.7 seconds
SmartAgent3D(Clone), door 46, 25.05-X, 15.4-Z, 104.24 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 104.56 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 105.32 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 106.04 seconds
SmartAgent3D(Clone), door 3, 14.61-X, 4.96-Z, 109.64 seconds
