Object Name, Agent Name, Agent Weight, Position-X, Position-Z, Time (Seconds)
door 48, smart agent 43, 1, 71.53, -23.57, 28.14
intersection node 6, smart agent 19, 1, 0.00, 24.00, 28.50
module node 26, smart agent 26, 1, 48.90, 2.00, 28.56
exit 1, smart agent 37, 1, -60.26, 6.79, 28.60
exit 1, smart agent 8, 1, -60.26, 6.79, 29.06
intersection node 6, smart agent 18, 1, 0.00, 24.00, 29.32
module node 20, smart agent 33, 1, 9.40, 24.00, 29.36
module node 19, smart agent 32, 1, 3.40, 24.00, 29.40
door 13, smart agent 23, 1, 4.95, 38.25, 29.94
module node 19, smart agent 35, 1, 3.40, 24.00, 30.02
door 11, smart agent 23, 1, 4.83, 38.25, 30.08
exit 11, smart agent 6, 1, 15.27, -1.76, 30.92
module node 19, smart agent 19, 1, 3.40, 24.00, 31.26
exit 5, smart agent 34, 1, 16.45, 34.41, 31.76
exit 1, smart agent 17, 1, -60.26, 6.79, 31.96
module node 19, smart agent 18, 1, 3.40, 24.00, 32.10
door 42, smart agent 45, 1, 50.47, -1.88, 32.46
door 48, smart agent 48, 1, 71.53, -23.57, 32.50
door 35, smart agent 48, 1, 71.53, -23.58, 32.50
door 114, smart agent 45, 1, 50.47, -1.76, 32.58
module node 26, smart agent 29, 1, 48.90, 2.00, 32.64
module node 20, smart agent 30, 1, 9.40, 24.00, 32.84
module node 20, smart agent 32, 1, 9.40, 24.00, 34.24
door 49, smart agent 28, 1, 60.17, 4.01, 34.36
door 117, smart agent 28, 1, 60.17, 3.89, 34.56
door 117, smart agent 28, 1, 60.17, 3.89, 34.58
room node 41, smart agent 41, 1, 75.80, -19.60, 34.80
module node 20, smart agent 35, 1, 9.40, 24.00, 34.86
exit 4, smart agent 52, 1, 28.47, -1.76, 34.98
exit 1, smart agent 7, 1, -60.26, 6.79, 35.86
module node 20, smart agent 19, 1, 9.40, 24.00, 36.10
module node 20, smart agent 18, 1, 9.40, 24.00, 36.92
door 36, smart agent 42, 1, 57.02, -27.07, 36.94
door 48, smart agent 50, 1, 71.53, -23.57, 37.08
door 35, smart agent 50, 1, 71.53, -23.58, 37.08
