Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
exit 1, smart agent 17, -60.26, 6.79, 12.02
door 58, smart agent 45, 56.53, -9.32, 12.10
door 49, smart agent 28, 60.17, 4.01, 12.16
door 54, smart agent 33, 2.38, 12.91, 12.16
module node 19, smart agent 18, 3.40, 24.00, 12.18
door 117, smart agent 28, 60.17, 3.89, 12.24
door 54, smart agent 33, 2.38, 12.91, 12.24
door 39, smart agent 45, 56.41, -9.32, 12.26
door 49, smart agent 28, 60.17, 4.01, 12.38
module node 19, smart agent 19, 3.40, 24.00, 12.40
door 117, smart agent 28, 60.17, 3.89, 12.46
door 93, smart agent 41, 77.92, -35.94, 12.54
door 47, smart agent 41, 77.91, -35.82, 12.64
door 59, smart agent 51, 71.51, -34.38, 12.70
door 45, smart agent 51, 71.48, -34.38, 12.72
exit 11, smart agent 39, 15.27, -1.76, 12.80
exit 4, smart agent 52, 28.47, -1.76, 12.80
module node 20, smart agent 35, 9.40, 24.00, 12.88
door 59, smart agent 46, 71.51, -34.38, 12.94
door 45, smart agent 46, 71.48, -34.38, 12.98
door 123, smart agent 33, 3.55, 13.96, 13.16
door 121, smart agent 30, 2.38, 13.03, 13.20
door 57, smart agent 33, 3.67, 13.96, 13.22
module node 26, smart agent 29, 48.90, 2.00, 13.28
door 123, smart agent 33, 3.55, 13.96, 13.38
door 121, smart agent 30, 2.38, 13.03, 13.42
door 123, smart agent 33, 3.55, 13.96, 13.44
door 54, smart agent 30, 2.38, 12.91, 13.56
door 57, smart agent 33, 3.67, 13.96, 13.60
door 54, smart agent 30, 2.38, 12.91, 13.64
door 57, smart agent 33, 3.67, 13.96, 13.66
exit 1, smart agent 7, -60.26, 6.79, 13.74
door 59, smart agent 51, 71.51, -34.38, 13.82
door 45, smart agent 51, 71.48, -34.38, 13.82
module node 20, smart agent 18, 9.40, 24.00, 13.90
door 123, smart agent 32, 3.55, 13.96, 13.94
module node 20, smart agent 19, 9.40, 24.00, 14.12
door 44, smart agent 46, 72.77, -35.82, 14.24
door 78, smart agent 46, 72.77, -35.94, 14.28
door 1, smart agent 23, -27.31, 26.85, 14.46
door 78, smart agent 46, 72.77, -35.94, 14.46
door 19, smart agent 23, -27.31, 26.72, 14.52
door 48, smart agent 48, 71.53, -23.57, 14.56
